stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,7433,0.129,0.171,0.257,0.819,8.901,445988,0
go-pgx,8,33048,0.212,0.326,0.782,2.718,14.202,1982886,0
go-pgx,32,47752,0.565,0.993,3.027,4.623,17.553,2865123,0
go-pgx,64,46780,1.194,2.082,4.386,6.496,33.400,2806809,0
go-pgx,128,46025,2.575,3.862,6.169,9.298,41.399,2761536,3
kotlin-vertx,1,7029,0.130,0.194,0.280,1.089,6.125,421770,0
kotlin-vertx,8,35868,0.201,0.303,0.585,2.320,19.404,2152108,0
kotlin-vertx,32,54269,0.506,0.868,1.970,4.179,24.520,3256136,0
kotlin-vertx,64,52293,1.063,1.765,3.468,6.114,31.743,3137568,0
kotlin-vertx,128,54178,2.118,3.254,5.640,8.985,48.733,3250662,0
